id,year,journal,title,doi,url,category,relation,type,mechanism,example,boundary
P1,2017,Science Advances,Compressive 3D ultrasound imaging using a single sensor,10.1126/sciadv.1701423,https://doi.org/10.1126/sciadv.1701423,感知编码,B：形态促进感知/控制,研究论文,塑料编码孔径将空间位置映射为不同声学响应，软件求解压缩重建。,单传感器对水中结构物体进行三维超声成像。,属于形态辅助感知；没有机器人闭环或物理记忆。
P2,2022,Science Advances,Fluidic innervation sensorizes structures from a single build material,10.1126/sciadv.abq4385,https://doi.org/10.1126/sciadv.abq4385,感知编码,B：形态促进感知/控制,研究论文,在单一打印材料的结构中嵌入空气通道，以压力反映形变；外部模型解码运动状态。,晶格及电机驱动的手性剪切膨胀结构；多通道压力与 LSTM 结合估计运动学。,传感通道不是气动驱动器；LSTM 的时序记忆在软件中。
M1,2017,Nature Communications,Origami-based tunable truss structures for non-volatile mechanical memory operation,10.1038/s41467-017-00670-w,https://doi.org/10.1038/s41467-017-00670-w,机械逻辑与稳定记忆,A：直接计算/记忆/反馈,研究论文,成对三角化圆柱折纸形成双势阱，稳定构型编码二进制位。,折纸样机展示存储与位翻转，组合形成两位系统。,非易失离散存储不等于连续时间序列的衰减记忆。
M2,2019,Nature Communications,Additively manufacturable micro-mechanical logic gates,10.1038/s41467-019-08678-0,https://doi.org/10.1038/s41467-019-08678-0,机械逻辑与稳定记忆,A：直接计算/记忆/反馈,研究论文,双稳态柔性机构把机械位移映射为逻辑状态，可通过结构互连级联。,可增材制造的微机械逻辑门，如 NOT、OR、NAND。,门电路和级联证据不能直接推出通用自主机器人或在线学习。
M3,2021,Nature Communications,A mechanical metamaterial with reprogrammable logical functions,10.1038/s41467-021-27608-7,https://doi.org/10.1038/s41467-021-27608-7,机械逻辑与稳定记忆,A：直接计算/记忆/反馈,研究论文,通过施加和释放激励重写超材料逻辑配置并初始化状态。,实验与数值验证可重编程逻辑及顺序记忆操作。,重编程由规定的外部操作完成，区别于自主学习。
M4,2023,Nature Communications,In-memory mechanical computing,10.1038/s41467-023-40989-1,https://doi.org/10.1038/s41467-023-40989-1,机械逻辑与稳定记忆,A：直接计算/记忆/反馈,研究论文,屈曲梁存储位及其连接实现移位寄存、XNOR 与感知机运算；周期外力驱动状态更新。,3D 打印器件验证机械二值神经网络和机械自学习感知机。,二值网络的配置涉及外部计算；机械自学习感知机是另一个受限演示，不能推广为深度网络自主训练。
M5,2024,Science Advances,Reprogrammable and reconfigurable mechanical computing metastructures with stable and high-density memory,10.1126/sciadv.ado6476,https://doi.org/10.1126/sciadv.ado6476,机械逻辑与稳定记忆,A：直接计算/记忆/反馈,研究论文,剪纸立方体与弹性连接形成可编辑、可锁定的稳定状态，预拉伸改变写入条件。,可重写的机械存储结构及多层配置。,重点是稳定存储与重构，不能当作时序预测或持续在线学习证据。
M6,2024,Nature Communications,Emergent disorder and mechanical memory in periodic metamaterials,10.1038/s41467-024-47780-w,https://doi.org/10.1038/s41467-024-47780-w,机械逻辑与稳定记忆,A：直接计算/记忆/反馈,研究论文,周期结构中的几何阻挫产生多种亚稳态；操作不对易，使最终构型携带加载顺序信息。,模拟和机械实验展示路径依赖的状态转换与操作历史记忆。,记录有限操作历史，不代表任意序列的可扩展读写或通用储备池。
T1,2021,Microsystems & Nanoengineering,Novel nondelay-based reservoir computing with a single micromechanical nonlinear resonator for high-efficiency information processing,10.1038/s41378-021-00313-7,https://doi.org/10.1038/s41378-021-00313-7,动态记忆与储备池,A：直接计算/记忆/反馈,研究论文,MEMS 非线性谐振器的瞬态响应提供特征与动态记忆，训练读出层完成任务。,实体谐振器用于图像、手势分类及 NARMA 任务。,文中 NARMA 使用 n=1，不能引用为长记忆证据；测量与读出仍依赖外部电子系统。
T2,2024,Nature Communications,Harnessing synthetic active particles for physical reservoir computing,10.1038/s41467-024-44856-5,https://doi.org/10.1038/s41467-024-44856-5,动态记忆与储备池,A：直接计算/记忆/反馈,研究论文,活性粒子的受控运动产生非线性动态响应，结合读出执行预测。,主动—被动微粒系统的实体实验。,外部延迟反馈及利用历史状态的读出都贡献记忆，必须计入系统边界。
T3,2026,Communications AI & Computing,Reservoir computing from collective dynamics of active colloidal oscillators,10.1038/s44488-026-00001-3,https://doi.org/10.1038/s44488-026-00001-3,动态记忆与储备池,A：直接计算/记忆/反馈,研究论文,流体耦合的胶体振子阵列提供并行动力学；间距与阻尼调节记忆和非线性，数字读出。,400 振子实验；混沌预测与隐藏异常检测，后者使用单输入通道检验动态记忆。,需激光反馈驱动；部分预测实验注入延迟输入，记忆参数扫描主要为仿真；尚非机器人闭环。
